Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
25407,1,1,40,168,40,40,40.0,0.0,168,168,168.0,0.0,8186.720195,78.71846342,25407.0,0.0,25407,25407,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,39.35923171,39.35923171,40,168,82.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,1,124.0,40.0,168.0,1,40,1,168,-1,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
882,3,4,161,488,161,0,53.66666667,92.95339334,488,0,122.0,244.0,735827.6644,7936.507937,147.0,92.81810168,268,29,452,226.0,138.5929291,324,128,614,204.6666667,173.5405812,376,29,0,72,92,3401.360544,4535.147392,0,488,81.125,173.7875859,30202.125,0,0,0,1,0,0,0,1,92.71428571,53.66666667,122.0,3,161,4,488,8192,149,1,0.0,0.0,0,0,0.0,0.0,0,0,0
2233,1,1,39,89,39,39,39.0,0.0,89,89,89.0,0.0,57321.98836,895.6560681,2233.0,0.0,2233,2233,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,447.828034,447.828034,39,89,55.66666667,28.86751346,833.3333333,0,0,0,0,0,0,0,1,83.5,39.0,89.0,1,39,1,89,-1,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
1434,1,1,35,51,35,35,35.0,0.0,51,51,51.0,0.0,59972.106,1394.700139,1434.0,0.0,1434,1434,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,697.3500697,697.3500697,35,51,40.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,1,60.5,35.0,51.0,1,35,1,51,-1,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
5,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,200000.0,200000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,1,0,1,0,241,230,0,0.0,0.0,0,0,0.0,0.0,0,0,2
4,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,250000.0,250000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,26883,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1
4648120,10,7,1144,1581,677,0,114.4,209.8969059,1173,0,225.8571429,430.0986044,586.2585303,3.657392666,290507.5,616465.6132,2430340,3,4648120,516457.7778,792909.9397,2430340,3,4516499,752749.8333,968743.2705,2622426,133203,0,212,152,2.151407451,1.505985216,0,1173,151.3888889,305.0398506,93049.31046,0,0,1,1,0,0,1,0,160.2941176,114.4,225.8571429,10,1144,7,1581,8192,62856,5,0.0,0.0,0,0,0.0,0.0,0,0,0
364321,24,22,1912,2665,640,0,79.66666667,133.8339876,976,0,121.1363636,258.6415603,12563.09683,126.2622797,8096.022222,15310.53006,43755,5,364270,15837.82609,23296.19821,84184,277,364313,17348.2381,34612.38487,129946,14,0,776,712,65.87597201,60.38630768,0,976,97.38297872,200.3366247,40134.76318,0,0,0,1,0,0,0,0,99.5,79.66666667,121.1363636,24,1912,22,2665,26883,230,16,0.0,0.0,0,0,0.0,0.0,0,0,2
2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,26883,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1
4573734,4,4,97,232,97,0,24.25,48.5,232,0,58.0,116.0,71.93247355,1.749117898,653390.5714,1701714.276,4512175,40,61559,20519.66667,35271.79814,61248,112,4573575,1524525.0,2640060.257,4573004,267,0,92,92,0.874558949,0.874558949,0,232,36.55555556,80.00486096,6400.777778,0,0,0,1,0,0,0,1,41.125,24.25,58.0,4,97,4,232,8192,141,1,0.0,0.0,0,0,0.0,0.0,0,0,0
